Word,Conversions,Hops
NAP,NAP NAY NAT NAM NAB NUP NIP NEP YAP WAP VAP TAP SAP RAP PAP MAP LAP,17
BOM,BOM BOY BOX BOT BOS BON,6
BOM,BOM BOY BOX BOT BOS BON BOG BOB BOA,9
BOM,BOM BOY BOX BOT BOS BON BOG BOB,8
BOM,BOM BOY BOX BOT BOS BON BOG,7
BOM,BOM BOY,2
BOM,BOM BOY BOX BOT,4
BOM,BOM BOY BOX BOT BOS BON BOG BOB BOA BUM BAM YOM TOM,13
BOM,BOM BOY BOX BOT BOS BON BOG BOB BOA BUM BAM YOM TOM NOM,14
BOM,BOM BOY BOX,3
BOM,BOM BOY BOX BOT BOS,5
BOM,BOM BOY BOX BOT BOS BON BOG BOB BOA BUM BAM,11
BOM,BOM BOY BOX BOT BOS BON BOG BOB BOA BUM BAM YOM,12
BON,BON BOY BOX BOT BOS BOG BOB BOA,8
BON,BON BOY BOX BOT BOS BOG BOB,7
BON,BON BOY BOX BOT BOS BOG,6
BON,BON BOY BOX BOT BOS BOG BOB BOA BIN BEN BAN YON WON TON SON OON NON KON ION GON FON DON CON,23
BON,BON BOY BOX BOT BOS BOG BOB BOA BIN BEN BAN YON WON TON SON OON NON KON ION GON FON,21
BON,BON BOY,2
BON,BON BOY BOX BOT,4
BON,BON BOY BOX BOT BOS BOG BOB BOA BIN BEN BAN YON WON,13
BON,BON BOY BOX BOT BOS BOG BOB BOA BIN BEN BAN YON WON TON SON OON NON,17
BON,BON BOY BOX BOT BOS BOG BOB BOA BIN BEN BAN,11
BON,BON BOY BOX BOT BOS BOG BOB BOA BIN BEN BAN YON WON TON SON OON NON KON ION GON,20
BON,BON BOY BOX BOT BOS BOG BOB BOA BIN BEN BAN YON WON TON SON OON NON KON ION GON FON DON,22
BON,BON BOY BOX,3
BON,BON BOY BOX BOT BOS,5
BON,BON BOY BOX BOT BOS BOG BOB BOA BIN BEN BAN YON WON TON SON OON,16
BON,BON BOY BOX BOT BOS BOG BOB BOA BIN BEN BAN YON WON TON SON OON NON KON,18
BON,BON BOY BOX BOT BOS BOG BOB BOA BIN BEN BAN YON WON TON SON,15
BON,BON BOY BOX BOT BOS BOG BOB BOA BIN BEN BAN YON,12
BON,BON BOY BOX BOT BOS BOG BOB BOA BIN BEN,10
BON,BON BOY BOX BOT BOS BOG BOB BOA BIN,9
BON,BON BOY BOX BOT BOS BOG BOB BOA BIN BEN BAN YON WON TON,14
BOA,BOA BOY BOX BOT BOS BOG BOB,7
BOA,BOA BOY BOX BOT BOS BOG,6
BOA,BOA BOY BOX BOT BOS BOG BOB BAA POA MOA,10
BOA,BOA BOY,2
BOA,BOA BOY BOX BOT,4
BOA,BOA BOY BOX BOT BOS BOG BOB BAA POA MOA GOA,11
BOA,BOA BOY BOX BOT BOS BOG BOB BAA POA,9
BOA,BOA BOY BOX,3
BOA,BOA BOY BOX BOT BOS,5
BOA,BOA BOY BOX BOT BOS BOG BOB BAA,8
